timestamp,determinand,units,Operator,result,Latitude,Longitude
15/01/2020 08:48:00,E.coli,/100ml,,1050,55.345911,-1.6288986
15/01/2020 08:48:00,phosphorus (total),ug/l P,,66,55.345911,-1.6288986
15/01/2020 12:45:00,E.coli,/100ml,,110,54.99968,-1.8842609
15/01/2020 06:45:00,E.coli,/100ml,,30,54.55989,-1.9839162
15/01/2020 14:48:00,E.coli,/100ml,,0,55.73145,-2.0476003
15/01/2020 11:44:00,E.coli,/100ml,,0,55.73145,-2.0476003
16/01/2020 13:15:00,E.coli,/100ml,,300,54.984881,-1.85266
16/01/2020 11:18:00,E.coli,/100ml,,0,54.81356,-2.304528
16/01/2020 10:03:00,E.coli,/100ml,,50,54.520786,-1.6057928
16/01/2020 13:15:00,E.coli,/100ml,,0,54.802831,-2.2357827
16/01/2020 10:44:00,E.coli,/100ml,,0,55.296341,-1.9509778
16/01/2020 10:44:00,phosphorus (total),ug/l P,,19,55.296341,-1.9509778
17/01/2020 09:33:00,E.coli,/100ml,,0,55.556879,-1.9587881
17/01/2020 09:22:00,E.coli,/100ml,,20,54.850926,-1.900214
20/01/2020 09:36:00,E.coli,/100ml,,10,54.748787,-2.2304038
20/01/2020 11:30:00,E.coli,/100ml,,0,55.73145,-2.0476003
21/01/2020 13:24:00,E.coli,/100ml,,250,54.984881,-1.85266
21/01/2020 13:15:00,E.coli,/100ml,,0,54.81356,-2.304528
21/01/2020 11:05:00,E.coli,/100ml,,150,54.520686,-1.605393
21/01/2020 11:05:00,phosphorus (total),ug/l P,,30,54.520686,-1.605393
21/01/2020 10:40:00,E.coli,/100ml,,0,54.802831,-2.2357827
21/01/2020 10:24:00,E.coli,/100ml,,0,55.296341,-1.9509778
22/01/2020 09:45:00,E.coli,/100ml,,50,54.817997,-1.9202919
22/01/2020 10:12:00,E.coli,/100ml,<,10,54.817997,-1.9202919
22/01/2020 10:00:00,E.coli,/100ml,<,10,54.817997,-1.9202919
22/01/2020 09:19:00,E.coli,/100ml,,0,55.556879,-1.9587881
22/01/2020 12:13:00,E.coli,/100ml,,10,55.318958,-2.3721639
22/01/2020 10:46:00,E.coli,/100ml,,20,55.229087,-2.166372
22/01/2020 10:46:00,phosphorus (total),ug/l P,,6.8,55.229087,-2.166372
22/01/2020 11:16:00,E.coli,/100ml,,20,55.278136,-2.2652283
23/01/2020 09:26:00,E.coli,/100ml,,0,55.556879,-1.9587881
23/01/2020 10:42:00,E.coli,/100ml,,10,54.850926,-1.900214
24/01/2020 08:07:00,E.coli,/100ml,,20,55.078992,-2.1396999
24/01/2020 08:20:00,E.coli,/100ml,<,10,55.231858,-1.91579
24/01/2020 07:38:00,E.coli,/100ml,,0,55.73145,-2.0476003
24/01/2020 10:41:00,E.coli,/100ml,,0,54.520831,-1.6058088
24/01/2020 08:00:00,E.coli,/100ml,,0,55.73145,-2.0476003
24/01/2020 08:06:00,E.coli,/100ml,,0,55.73145,-2.0476003
24/01/2020 11:08:00,E.coli,/100ml,,900,54.837556,-1.5317023
24/01/2020 10:18:00,E.coli,/100ml,,1550,55.345911,-1.6288986
24/01/2020 12:06:00,E.coli,/100ml,,10,55.000892,-1.8834914
24/01/2020 08:44:00,E.coli,/100ml,,30,54.55989,-1.9839162
24/01/2020 07:13:00,E.coli,/100ml,,0,55.73145,-2.0476003
24/01/2020 08:53:00,E.coli,/100ml,,0,55.73145,-2.0476003
27/01/2020 12:20:00,E.coli,/100ml,,1450,54.984881,-1.85266
27/01/2020 11:10:00,E.coli,/100ml,,0,54.81356,-2.304528
27/01/2020 09:54:00,E.coli,/100ml,,100,54.520831,-1.6058088
27/01/2020 13:13:00,E.coli,/100ml,,0,54.802831,-2.2357827
27/01/2020 10:01:00,E.coli,/100ml,,0,55.296341,-1.9509778
28/01/2020 09:36:00,E.coli,/100ml,,0,55.556879,-1.9587881
28/01/2020 10:36:00,E.coli,/100ml,,20,54.850926,-1.900214
29/01/2020 10:57:00,E.coli,/100ml,,0,55.721901,-2.0640969
29/01/2020 11:16:00,E.coli,/100ml,,200,54.520831,-1.6058088
29/01/2020 11:16:00,phosphorus (total),ug/l P,,1600,54.520831,-1.6058088
29/01/2020 08:46:00,E.coli,/100ml,,10,54.748787,-2.2304038
29/01/2020 10:47:00,E.coli,/100ml,,0,55.731396,-2.0475048
30/01/2020 13:21:00,E.coli,/100ml,<,10,55.078992,-2.1396999
30/01/2020 10:01:00,E.coli,/100ml,<,10,55.237793,-1.9226023
30/01/2020 10:01:00,phosphorus (total),ug/l P,,33,55.237793,-1.9226023
30/01/2020 10:56:00,E.coli,/100ml,,0,55.721901,-2.0640969
30/01/2020 09:52:00,E.coli,/100ml,,0,55.705399,-2.0871908
30/01/2020 10:10:00,E.coli,/100ml,,0,54.520831,-1.6058088
30/01/2020 10:42:00,E.coli,/100ml,,0,55.724897,-2.0730014
30/01/2020 10:41:00,E.coli,/100ml,,0,55.724798,-2.0730968
30/01/2020 08:16:00,E.coli,/100ml,,1100,54.837556,-1.5317023
30/01/2020 09:22:00,E.coli,/100ml,,1900,55.345911,-1.6288986
30/01/2020 12:30:00,E.coli,/100ml,,60,54.99968,-1.8842609
30/01/2020 12:30:00,phosphorus (total),ug/l P,,34,54.99968,-1.8842609
30/01/2020 10:10:00,E.coli,/100ml,<,10,54.55989,-1.9839162
